Language/Topic,Name,Course/Project,Link,University/Company/YouTube Page,Ratings,Level,Reviews,Enrolled Students,Payment,Views,Platform
Data Structures,"Arrays in Data Structure | Declaration, Initialization, Memory representation",PLAYLIST,https://www.youtube.com/watch?v=AT14lCXuMKI&list=PLdo5W4Nhv31bbKJzrsKfMpo_grxuLl8LU,Jenny's lectures CS/IT NET&JRF,NA,NA,NA,NA,u,365k,YouTube
Data Structures,Introduction to Data Structures & Algorithms | Course Details & Prerequisites,PLAYLIST,https://www.youtube.com/watch?v=XCyuHSJS7XE&list=PLIY8eNdw5tW_zX3OCzX7NJ8bL1p6pWfgG,Simple Snippets,NA,NA,NA,NA,u,124k,YouTube
Data Structures,All Data Structures - GeeksforGeeks,BLOGS,https://www.geeksforgeeks.org/data-structures/,GeeksforGeeks,NA,NA,NA,NA,u,NA,GeeksforGeeks
Web Development ,Web Design for Everybody: Basics of Web Development & Coding,SPECIALIZATION,https://www.coursera.org/specializations/web-design,University of Michigan,4.7,Beginner,26528,NA,P,NA,Coursera
JavaScript,"HTML, CSS, and Javascript for Web Developers",COURSE,https://www.coursera.org/learn/html-css-javascript-for-web-developers,Johns Hopkins University,4.8,Mixed,9691,NA,P,NA,Coursera
Web Development ,Full-Stack Web Development with React,SPECIALIZATION,https://www.coursera.org/specializations/full-stack-react,The Hong Kong University of Science and Technology,4.7,Intermediate,8308,NA,P,NA,Coursera
Java,Java Programming and Software Engineering Fundamentals,SPECIALIZATION,https://www.coursera.org/specializations/java-programming,Duke University,4.6,Beginner,15152,NA,P,NA,Coursera
JavaScript,"JavaScript, jQuery, and JSON",COURSE,https://www.coursera.org/learn/javascript-jquery-json,University of Michigan,4.6,Intermediate,555,NA,P,NA,Coursera
JavaScript,"Programming Foundations with JavaScript, HTML and CSS",COURSE,https://www.coursera.org/learn/duke-programming-web,Duke University,4.6,Beginner,10659,NA,P,NA,Coursera
Web Development ,Web Development Full Course�,PLAYLIST,https://www.youtube.com/watch?v=Q33KBiDriJY,edureka!,NA,NA,NA,NA,u,2M,YouTube
Web Development ,Full Stack Web and Multiplatform Mobile App Development,SPECIALIZATION,https://www.coursera.org/specializations/full-stack-mobile-app-development,The Hong Kong University of Science and Technology,4.7,Intermediate,8031,NA,P,NA,Coursera
Web Development ,Responsive Website Development and Design,SPECIALIZATION,https://www.coursera.org/specializations/website-development,Goldsmiths University of London,4.5,Beginner,6429,NA,P,NA,Coursera
Web Development ,"Introduction to HTML, CSS, JavaScript & How websites work?",PLAYLIST,https://www.youtube.com/watch?v=6mbwJ2xhgzM&list=PLu0W_9lII9agiCUZYRsvtGTXdxkzPyItg,CodeWithHarry,NA,NA,NA,NA,u,677k,YouTube
Web Development ,Web Development Roadmaps,BLOGS,https://www.w3schools.com/whatis/,W3Schools,NA,NA,NA,NA,u,NA,w3schools
Web Development ,Tuts+ Code,BLOGS,https://code.tutsplus.com/series,envato-tuts+,NA,NA,NA,NA,u,NA,code.tutsplus
JavaScript,Django for Everybody,SPECIALIZATION,https://www.coursera.org/specializations/django,University of Michigan,4.7,Intermediate,739,NA,P,NA,Coursera
Web Development ,Web Applications for Everybody,SPECIALIZATION,https://www.coursera.org/specializations/web-applications,University of Michigan,4.7,Intermediate,5710,NA,P,NA,Coursera
JavaScript,Interactivity with JavaScript,COURSE,https://www.coursera.org/learn/javascript,University of Michigan,4.7,Mixed,5987,NA,P,NA,Coursera
JavaScript,Python for Everybody,SPECIALIZATION,https://www.coursera.org/specializations/python,University of Michigan,4.8,Beginner,199756,NA,P,NA,Coursera
JavaScript,JavaScript Tutorial for Beginners ,PLAYLIST,https://www.youtube.com/watch?v=Qqx_wzMmFeA,Clever Programmer,NA,NA,NA,NA,u,1.2M,Coursera
JavaScript,JavaScript Full Course | JavaScript Tutorial For Beginners | JavaScript Training,PLAYLIST,https://www.youtube.com/watch?v=o1IaduQICO0,edureka!,NA,NA,NA,NA,u,438k,YouTube
JavaScript,David Walsh Blog - JavaScript Consultant,BLOGS,https://davidwalsh.name/,NA,NA,NA,NA,NA,u,NA,davidwalsh
JavaScript,JavaScript Tutorial,BLOGS,https://www.w3schools.com/js/DEFAULT.asp,W3Schools,NA,NA,NA,NA,u,NA,w3schools
